2024-05-21 14:00:47,623 INFO    MainThread:2146981 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-21 14:00:47,624 INFO    MainThread:2146981 [wandb_setup.py:_flush():76] Configure stats pid to 2146981
2024-05-21 14:00:47,624 INFO    MainThread:2146981 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2024-05-21 14:00:47,624 INFO    MainThread:2146981 [wandb_setup.py:_flush():76] Loading settings from /home/ayhan/gflownet-rl/hypergrid/wandb/settings
2024-05-21 14:00:47,624 INFO    MainThread:2146981 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-21 14:00:47,624 INFO    MainThread:2146981 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-21 14:00:47,624 INFO    MainThread:2146981 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'hypergrid/run_hypergrid_exp.py', 'program_abspath': '/home/ayhan/gflownet-rl/hypergrid/run_hypergrid_exp.py', 'program': '/home/ayhan/gflownet-rl/hypergrid/run_hypergrid_exp.py'}
2024-05-21 14:00:47,624 INFO    MainThread:2146981 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-21 14:00:47,624 INFO    MainThread:2146981 [wandb_init.py:_log_setup():520] Logging user logs to /home/ayhan/gflownet-rl/hypergrid/wandb/run-20240521_140047-n4jmo6fk/logs/debug.log
2024-05-21 14:00:47,625 INFO    MainThread:2146981 [wandb_init.py:_log_setup():521] Logging internal logs to /home/ayhan/gflownet-rl/hypergrid/wandb/run-20240521_140047-n4jmo6fk/logs/debug-internal.log
2024-05-21 14:00:47,625 INFO    MainThread:2146981 [wandb_init.py:init():560] calling init triggers
2024-05-21 14:00:47,625 INFO    MainThread:2146981 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-05-21 14:00:47,625 INFO    MainThread:2146981 [wandb_init.py:init():610] starting backend
2024-05-21 14:00:47,625 INFO    MainThread:2146981 [wandb_init.py:init():614] setting up manager
2024-05-21 14:00:47,628 INFO    MainThread:2146981 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-21 14:00:47,630 INFO    MainThread:2146981 [wandb_init.py:init():622] backend started and connected
2024-05-21 14:00:47,633 INFO    MainThread:2146981 [wandb_init.py:init():711] updated telemetry
2024-05-21 14:00:47,641 INFO    MainThread:2146981 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-21 14:00:48,279 INFO    MainThread:2146981 [wandb_run.py:_on_init():2396] communicating current version
2024-05-21 14:00:48,381 INFO    MainThread:2146981 [wandb_run.py:_on_init():2405] got version response 
2024-05-21 14:00:48,381 INFO    MainThread:2146981 [wandb_init.py:init():795] starting run threads in backend
2024-05-21 14:00:50,300 INFO    MainThread:2146981 [wandb_run.py:_console_start():2374] atexit reg
2024-05-21 14:00:50,300 INFO    MainThread:2146981 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-21 14:00:50,300 INFO    MainThread:2146981 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-21 14:00:50,300 INFO    MainThread:2146981 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-21 14:00:50,301 INFO    MainThread:2146981 [wandb_init.py:init():838] run started, returning control to user process
2024-05-21 14:00:50,301 INFO    MainThread:2146981 [wandb_run.py:_config_callback():1376] config_cb None None {'_fields': {'seed': 3, 'device': 'cuda:4', 'validation_interval': 100, 'validation_samples': 200000, 'wandb_project': 'Zehranin gozyasi', 'n_envs': 256, 'n_trajectories': 1000000}, '_locked': True, '_type_safe': True, '_convert_dict': True}
2024-05-21 14:00:50,302 INFO    MainThread:2146981 [wandb_run.py:_config_callback():1376] config_cb None None {'_fields': {'name': 'Hypergrid', 'reward_type': 'standard', 'ndim': 4, 'height': 20, 'R0': 0.001, 'R1': 0.5, 'R2': 2.0}, '_locked': True, '_type_safe': True, '_convert_dict': True}
2024-05-21 14:00:50,303 INFO    MainThread:2146981 [wandb_run.py:_config_callback():1376] config_cb None None {'_fields': {'name': 'PCL_MS_DQN', 'tied': False, 'uniform_pb': True, 'learning_rate': 0.001, 'loss_type': 'MSE', 'net': 'hidden_dim: 256\nn_hidden: 2\n', 'replay_buffer': 'alpha: 0.5\nbatch_size: 256\nbeta: 0.0\nprioritized: true\nreplay_buffer_size: 100000\n', 'munchausen': 'alpha: 0.0\nl0: 0\n', 'learning_starts': 16, 'update_frequency': 1, 'target_network_frequency': 1, 'tau': 0.25, 'is_double': False}, '_locked': True, '_type_safe': True, '_convert_dict': True}
2024-05-21 14:31:57,579 WARNING MsgRouterThr:2146981 [router.py:message_loop():77] message_loop has been closed
